area,average_price,community,decoration,direction,focus_num,link,model,othermessage,price,time,title
63.11平米,单价54667元/平米,雍翠华府  布心,精装,南,15人关注,https://sz.lianjia.com/ershoufang/105103570566.html,2室1厅,近地铁 VR房源 房本满两年 随时看房,345,13天以前发布,房子业主诚心卖 房子朝南 采光好
45.12平米,单价56516元/平米,天越翔园  莲塘,简装,北,7人关注,https://sz.lianjia.com/ershoufang/105102087265.html,1室1厅,VR房源 房本满两年,255,,房源新  高楼层  通风采光佳 业主诚心出售
52.38平米,单价67774元/平米,长富花园  布心,简装,南,0人关注,https://sz.lianjia.com/ershoufang/105103621698.html,2室1厅,近地铁 VR房源 房本满五年,355,3天以前发布,诚心卖，看房方便，中间位置，看花园
45.96平米,单价36554元/平米,长丰苑  春风路,简装,东南 南,2人关注,https://sz.lianjia.com/ershoufang/105103483439.html,1室1厅,近地铁 VR房源 房本满五年 随时看房,168,29天以前发布,长丰苑 中高楼层 带阳台 采光视野好 业主急售
96.2平米,单价54574元/平米,仙桐御景  莲塘,简装,西南,11人关注,https://sz.lianjia.com/ershoufang/105102040322.html,3室2厅,VR房源 房本满五年,525,,西南朝向看别墅区，厅出阳台，大社区，居家舒适。
100.45平米,单价55252元/平米,华丽花园  螺岭,简装,东南,82人关注,https://sz.lianjia.com/ershoufang/105101037259.html,3室1厅,近地铁 VR房源 房本满五年,555,,华丽花园三房    螺岭150米 业主换房 诚心出售
53.13平米,单价53643元/平米,源兴居  洪湖,简装,东南,47人关注,https://sz.lianjia.com/ershoufang/105102999016.html,2室1厅,近地铁 VR房源 房本满两年 随时看房,285,,洪湖公园旁，朝南两房，采光好视野
53.06平米,单价44855元/平米,南塘物业小区  东门,精装,东南,20人关注,https://sz.lianjia.com/ershoufang/105101564206.html,2室1厅,近地铁 VR房源 房本满两年,238,,南塘物业 老街地铁口   看房子提前约
36.34平米,单价24767元/平米,承翰半山海  大鹏半岛,精装,西,14人关注,https://sz.lianjia.com/ershoufang/105103297226.html,1室1厅,,90,,深圳海景1房1厅带阳台，红本在手精装修
89平米,单价32023元/平米,深业东城上邸  坪山,,南,5人关注,https://sz.lianjia.com/ershoufang/105103147783.html,3室2厅,房本满五年,285,,深业东城上邸 3室2厅 285万
89.04平米,单价55593元/平米,光明峰荟  公明,,东南,0人关注,https://sz.lianjia.com/ershoufang/105103549121.html,4室2厅,房本满两年,495,17天以前发布,光明峰荟花园 户型方正，采光和通风效果都好
65.69平米,单价66982元/平米,星河传奇·铂寓S  红山,精装,南,1人关注,https://sz.lianjia.com/ershoufang/105102896229.html,2室1厅,近地铁 房本满两年,440,,上塘 红山 双地铁 精装 星河高品质公寓 业主诚心卖
88.25平米,单价43627元/平米,星河智荟  横岗,精装,东南,5人关注,https://sz.lianjia.com/ershoufang/105103293369.html,3室2厅,近地铁 VR房源 房本满两年 随时看房,385,,正规3房，东南朝向，楼层好，视野开阔，采光充足。
104.82平米,单价62012元/平米,碧海富通城一期  碧海,精装,南,68人关注,https://sz.lianjia.com/ershoufang/105101277615.html,3室1厅,房本满两年,650,,一套不错的三房两卫供您鉴赏居家好房
38.88平米,单价33437元/平米,昊海君悦  沙头角,简装,北,1人关注,https://sz.lianjia.com/ershoufang/105103235407.html,1室1厅,房本满五年,130,,昊海君悦 1室1厅 130万
194.86平米,单价92375元/平米,麒麟花园A区  南头,精装,南,4人关注,https://sz.lianjia.com/ershoufang/105103115963.html,5室2厅,VR房源 房本满两年,1800,,好房推存 麒麟花园复式，私家花园+车位
18.74平米,单价72039元/平米,凯伦花园  梅林,精装,北,34人关注,https://sz.lianjia.com/ershoufang/105102963827.html,1室0厅,近地铁 VR房源 房本满两年,135,,房子满两年，精装修户型方正单间，带独立厨房卫生间
78.22平米,单价65201元/平米,水围新家园  皇岗,简装,西北,6人关注,https://sz.lianjia.com/ershoufang/105102818849.html,2室2厅,近地铁 VR房源 房本满五年,510,,新家园，大两房，交通便利，购物方便
75.14平米,单价77190元/平米,趣园  车公庙,精装,东北,2人关注,https://sz.lianjia.com/ershoufang/105102567012.html,2室2厅,近地铁 VR房源 房本满五年,580,,趣园 2室2厅 580万
65平米,单价73847元/平米,鹏益花园  八卦岭,简装,南,7人关注,https://sz.lianjia.com/ershoufang/105101901484.html,2室1厅,近地铁 VR房源 房本满五年,480,,鹏益花园65平2房 红本在手 满五年
117.96平米,单价71211元/平米,福昌苑  新洲,,南 北,4人关注,https://sz.lianjia.com/ershoufang/105102917004.html,3室2厅,近地铁 VR房源 房本满两年,840,,房子使用率高  户型方正  带花园 南北通透 一梯两户
42.61平米,单价79794元/平米,旭飞花园  八卦岭,精装,北,12人关注,https://sz.lianjia.com/ershoufang/105102708357.html,1室1厅,近地铁 VR房源 房本满两年,340,,旭飞花园一房一厅，南北通透，采光好，业主诚心出售。
84.85平米,单价70714元/平米,绿景新苑  新洲,精装,南,4人关注,https://sz.lianjia.com/ershoufang/105102412621.html,2室1厅,近地铁 VR房源 房本满五年,600,,地面花园，安静小区，生活和出行便利，精装保养好！
92.53平米,单价157787元/平米,百花园二期  百花,简装,南,5人关注,https://sz.lianjia.com/ershoufang/105102155352.html,2室1厅,近地铁 VR房源 房本满五年,1460,,百花园二期高楼层，正南向精装修两房，采光好。
57.54平米,单价85159元/平米,皇庭世纪  石厦,精装,东北,66人关注,https://sz.lianjia.com/ershoufang/105101762549.html,2室1厅,近地铁 VR房源 房本满两年,490,,皇庭世纪 精装两房 东北向 安静
108.19平米,单价106295元/平米,深业上城  莲花,精装,南,1人关注,https://sz.lianjia.com/ershoufang/105103294815.html,1室1厅,VR房源 房本满两年,1150,,深业上城 1室1厅 1150万
55.88平米,单价77846元/平米,水畔紫云阁  皇岗,,东南,36人关注,https://sz.lianjia.com/ershoufang/105102796844.html,3室1厅,近地铁 VR房源 房本满五年,435,,水畔紫云阁复式两房2012年小区 东南看米铺 次卧有窗户
29平米,单价81035元/平米,深业岭秀名苑  莲花,简装,东,16人关注,https://sz.lianjia.com/ershoufang/105102133131.html,1室0厅,近地铁 VR房源 房本满两年,235,,小户型、总价低、安静、近地铁口
54.35平米,单价125115元/平米,天健时尚名苑  福田保税区,精装,南 北,4人关注,https://sz.lianjia.com/ershoufang/105101487883.html,2室1厅,VR房源 房本满两年,680,,精装修复式南北通，高层看海景，满两年
38.6平米,单价65026元/平米,御河堤  上步,简装,西,25人关注,https://sz.lianjia.com/ershoufang/105102821611.html,1室1厅,近地铁 VR房源 房本满两年 随时看房,251,,一房一厅 3条地铁线 花园小区 适合居住 10年新小区
54.51平米,单价51367元/平米,红岭大厦  上步,精装,东北,69人关注,https://sz.lianjia.com/ershoufang/105102106382.html,2室1厅,近地铁 VR房源 房本满五年,280,,挨着公园，方正两房，诚心出售，双地铁
124.69平米,单价78595元/平米,云顶翠峰  皇岗,精装,南,38人关注,https://sz.lianjia.com/ershoufang/105101309722.html,3室2厅,近地铁 VR房源 房本满五年,980,,福田南 宜居大社区，天然氧吧，安静，大阳台户型实用
34.22平米,单价87669元/平米,嘉葆润金座  新洲,精装,北,8人关注,https://sz.lianjia.com/ershoufang/105103037248.html,2室1厅,近地铁 VR房源 房本满两年,300,,嘉葆润高层、精装修2房，诚心出售
36平米,单价63889元/平米,京基御景华城  赤尾,,南,13人关注,https://sz.lianjia.com/ershoufang/105102404575.html,1室0厅,近地铁 VR房源 房本满两年 随时看房,230,,出阳台小户型，满两年少税，总价低，上车盘
80.17平米,单价70476元/平米,京基御景华城  赤尾,精装,东北,19人关注,https://sz.lianjia.com/ershoufang/105103442744.html,3室2厅,近地铁 VR房源 房本满两年,565,,厅出阳台，户型方正，高楼层采光好。
92.69平米,单价64732元/平米,景发花园  景田,精装,西北,5人关注,https://sz.lianjia.com/ershoufang/105103406296.html,3室1厅,近地铁 VR房源 房本满五年,600,,福田景田 大三房 景发花园 精装修 诚心售
103平米,单价60680元/平米,莲花北村  莲花,简装,东北,13人关注,https://sz.lianjia.com/ershoufang/105103368052.html,3室2厅,近地铁 VR房源 房本满五年,625,,吉莲大厦  满五唯一 电梯大三房 业主诚心出售
250.3平米,单价62326元/平米,加福广场华尔登府邸  福田保税区,精装,南,0人关注,https://sz.lianjia.com/ershoufang/105103332437.html,4室1厅,近地铁 VR房源 房本满五年,1560,,加福广场 高层 视野好、大平面、4房出售
44.82平米,单价65819元/平米,金地海景花园  沙尾,精装,南,37人关注,https://sz.lianjia.com/ershoufang/105103299813.html,1室1厅,近地铁 VR房源 房本满两年,295,,南向看花园很安静，业主诚心卖，装修保养好
120平米,单价73334元/平米,圆梦园  福田保税区,简装,南,13人关注,https://sz.lianjia.com/ershoufang/105103244632.html,3室2厅,VR房源 房本满五年,880,,保税区大三房  户型方正，小区安静，面积大，带花园。
125.56平米,单价92387元/平米,安栢丽晶  景田,简装,东,4人关注,https://sz.lianjia.com/ershoufang/105103209850.html,3室1厅,近地铁 VR房源 房本满五年,1160,,安柏丽晶三房 满五唯一税费少 业主诚心卖
157.62平米,单价60906元/平米,皇御苑一期  皇岗,,东南,4人关注,https://sz.lianjia.com/ershoufang/105103157968.html,4室1厅,近地铁 VR房源 房本满五年,960,,皇御苑一期 4室1厅 960万
73.14平米,单价73558元/平米,绿景花园二期  新洲,精装,西北,61人关注,https://sz.lianjia.com/ershoufang/105103097413.html,2室1厅,近地铁 VR房源 房本满五年,538,,满五年，地铁口物业，户型方正，无暗房。
97.28平米,单价62706元/平米,雨田村  莲花,精装,南,56人关注,https://sz.lianjia.com/ershoufang/105103043030.html,3室2厅,近地铁 VR房源 房本满两年,610,,雨田村，前排看莲花山，南向97平3房，看房方便
111.75平米,单价61745元/平米,星河雅居  新洲,精装,南,34人关注,https://sz.lianjia.com/ershoufang/105102937932.html,3室1厅,近地铁 VR房源 房本满两年,690,,星河方正三房 高层视野佳 看房方便
81.77平米,单价58702元/平米,梅兴苑  梅林,简装,北,10人关注,https://sz.lianjia.com/ershoufang/105102817811.html,3室1厅,近地铁 VR房源 房本满两年,480,,梅兴苑1期 小区环境好 住家氛围浓厚 有梅林文体公园
122.63平米,单价66868元/平米,东方富苑  梅林,,南,4人关注,https://sz.lianjia.com/ershoufang/105102575056.html,3室2厅,近地铁 VR房源 房本满五年,820,,莲花山脚下，电梯复式，看小区安静，地铁口物业。
92.17平米,单价70522元/平米,共和世家  皇岗,简装,东,8人关注,https://sz.lianjia.com/ershoufang/105101993075.html,3室2厅,近地铁 VR房源 房本满五年,650,,花园里的小三房，配套完善近地铁
98.11平米,单价57079元/平米,梅兴苑  梅林,精装,北,3人关注,https://sz.lianjia.com/ershoufang/105103548763.html,3室2厅,近地铁 VR房源 房本满两年,560,17天以前发布,自住精装大三房 保养好 满五年  业主诚售 地铁物业
130.66平米,单价118629元/平米,新天国际名苑  香蜜湖,简装,南,5人关注,https://sz.lianjia.com/ershoufang/105103461822.html,1室1厅,近地铁 VR房源 房本满五年 随时看房,1550,,满五不唯一，没有欠款，，业主诚心出售，看房提前预约
32.03平米,单价70247元/平米,凯丰花园二期  梅林,简装,北,23人关注,https://sz.lianjia.com/ershoufang/105103159937.html,1室0厅,近地铁 VR房源 房本满五年 随时看房,225,,大社区带泳池刚需一房，业主诚心出售
94.1平米,单价69926元/平米,都市花园  车公庙,简装,东南 南,13人关注,https://sz.lianjia.com/ershoufang/105102939377.html,3室1厅,近地铁 VR房源 房本满五年,658,,都市花园 94平米方正大三房 满五年红本
115.79平米,单价53805元/平米,合正园  梅林,简装,南 北,43人关注,https://sz.lianjia.com/ershoufang/105102805912.html,3室2厅,近地铁 VR房源 房本满五年,623,,合正园  双大阳台双卫   满五唯一红本  可拎包入住
96.67平米,单价64964元/平米,天威花园  莲花,简装,北,6人关注,https://sz.lianjia.com/ershoufang/105102671323.html,3室2厅,近地铁 VR房源 房本满五年,628,,天威花园，安静97平3房诚售，一手业主红本
84.53平米,单价60334元/平米,海滨广场  皇岗,精装,东北,48人关注,https://sz.lianjia.com/ershoufang/105102386195.html,3室2厅,近地铁 VR房源 房本满两年,510,,福田区 双地铁双口岸物业 温馨小3房户型方正实用
99.38平米,单价68425元/平米,宣嘉华庭  皇岗,精装,北,13人关注,https://sz.lianjia.com/ershoufang/105102130245.html,3室1厅,近地铁 VR房源 房本满两年,680,,宣嘉稀有带双阳台单位，业主诚意出售
36.5平米,单价50685元/平米,金地花园  上下沙,精装,南,170人关注,https://sz.lianjia.com/ershoufang/105101754720.html,1室1厅,近地铁 VR房源 房本满五年,185,,房子四年，红本在手，小区安静舒适。
132.1平米,单价47692元/平米,明苑大厦  赤尾,简装,南,19人关注,https://sz.lianjia.com/ershoufang/105100732615.html,3室2厅,近地铁 VR房源 房本满五年,630,,地铁物业 大三房 单价合适 税费少 看房方便
87.33平米,单价72828元/平米,益田村  石厦,简装,北,16人关注,https://sz.lianjia.com/ershoufang/105102961704.html,3室1厅,近地铁 VR房源 房本满五年,636,,满五年无增值税，明厨明卫通风采光好，业主诚心出售
108.65平米,单价142660元/平米,香榭里紫园  香蜜湖,精装,南,25人关注,https://sz.lianjia.com/ershoufang/105102189435.html,3室2厅,近地铁 VR房源 房本满两年,1550,,香蜜湖 香榭里紫园 满两年 南北 香蜜公园旁
30.04平米,单价73236元/平米,晨晖家园  皇岗,精装,东北,82人关注,https://sz.lianjia.com/ershoufang/105101745573.html,1室1厅,近地铁 VR房源 房本满两年,220,,价格优质，户型好，方正合理，中高楼层无遮挡采光好。
143.17平米,单价90802元/平米,东方玫瑰花园  景田,精装,南 北,41人关注,https://sz.lianjia.com/ershoufang/105101277486.html,4室1厅,近地铁 VR房源 房本满两年,1300,,东方玫瑰花园大四房 南北通住家安静
34.82平米,单价84722元/平米,意馨居  八卦岭,简装,南,5人关注,https://sz.lianjia.com/ershoufang/105103549838.html,1室0厅,近地铁 VR房源 房本满五年,295,17天以前发布,意馨居 1室0厅 295万
40.9平米,单价92910元/平米,凯旋豪庭  景田,精装,北,18人关注,https://sz.lianjia.com/ershoufang/105103520799.html,1室1厅,近地铁 VR房源 房本满两年,380,22天以前发布,莲花山旁07年小区 精装一房双阳台 安静看公园无遮挡
49.31平米,单价62868元/平米,汇龙花园  梅林,简装,南,15人关注,https://sz.lianjia.com/ershoufang/105103483531.html,1室1厅,近地铁 VR房源 房本满五年,310,29天以前发布,红本在手，满五年，唯一，税费少，交易快捷!
85.83平米,单价62916元/平米,彩天名苑  福田中心,精装,南,126人关注,https://sz.lianjia.com/ershoufang/105102526549.html,3室1厅,近地铁 VR房源 房本满五年,540,,楼下地铁口，正规东南向标准三房，安静
182.56平米,单价87643元/平米,东海国际公寓  香蜜湖,精装,北,1人关注,https://sz.lianjia.com/ershoufang/105101848962.html,3室2厅,近地铁 VR房源 房本满五年,1600,,东海国际公寓两层复式，三房，安静。
77.25平米,单价75081元/平米,碧海红树园  上下沙,简装,东,12人关注,https://sz.lianjia.com/ershoufang/105103347743.html,2室1厅,近地铁 VR房源 房本满两年,580,,碧海红树园 77平米 正规大两房 580万
164.2平米,单价124848元/平米,东海花园二期福禄居  香蜜湖,精装,南,43人关注,https://sz.lianjia.com/ershoufang/105102550052.html,4室2厅,近地铁 VR房源 随时看房,2050,,东海二期，大花园朝南四房，全新100万装修，随时入住
97.69平米,单价83939元/平米,嘉洲富苑  新洲,精装,南,5人关注,https://sz.lianjia.com/ershoufang/105103415798.html,4室1厅,近地铁 VR房源 房本满五年,820,,红本高层，正规四房，使用率大，业主诚心卖
218平米,单价100918元/平米,金海湾花园  上下沙,精装,南,7人关注,https://sz.lianjia.com/ershoufang/105103236994.html,5室2厅,近地铁 VR房源 房本满两年,2200,,装修好，采光通风很棒，安静舒适，金地物业保驾护航
93.12平米,单价83763元/平米,嘉洲富苑  新洲,精装,南,10人关注,https://sz.lianjia.com/ershoufang/105103058639.html,3室2厅,近地铁 VR房源 房本满两年,780,,嘉洲富苑满五唯一 实用率高 精装 高层采光好
160.19平米,单价58057元/平米,国都高尔夫花园二期  车公庙,精装,北,5人关注,https://sz.lianjia.com/ershoufang/105102783244.html,3室1厅,近地铁 VR房源 房本满五年,930,,装修保养好，东北向采光充足，看高尔
115.2平米,单价169966元/平米,宣嘉华庭  皇岗,精装,南,0人关注,https://sz.lianjia.com/ershoufang/105102343832.html,4室2厅,近地铁 VR房源 房本满五年,1958,,自住精装 ，房子是特殊户型三层，有个大阳台
171.78平米,单价91979元/平米,深业花园  莲花,,西北,29人关注,https://sz.lianjia.com/ershoufang/105101847198.html,4室2厅,近地铁 VR房源 房本满五年,1580,,2019奋斗进行时：我想在深圳安个家
45.1平米,单价86475元/平米,半山御景  梅林,简装,东南 北,105人关注,https://sz.lianjia.com/ershoufang/105101479054.html,1室1厅,近地铁 VR房源 房本满五年,390,,房子已经满两年，红本在手。户型方正
90.66平米,单价72800元/平米,碧海红树园  上下沙,精装,南,106人关注,https://sz.lianjia.com/ershoufang/105100891338.html,2室2厅,近地铁 VR房源 房本满五年,660,,碧海高层大两房 满五年红本 厅出阳台
97.56平米,单价74826元/平米,金港豪庭  皇岗,精装,南,5人关注,https://sz.lianjia.com/ershoufang/105103404528.html,3室2厅,近地铁 VR房源 房本满两年 随时看房,730,,金港豪庭 3室2厅 730万
106.32平米,单价61137元/平米,新世界家园  梅林,精装,东南,23人关注,https://sz.lianjia.com/ershoufang/105103021760.html,3室2厅,近地铁 VR房源 房本满两年 随时看房,650,,新世界家园 高层好视野 层高3.3米 精装修 满两年
81.86平米,单价61080元/平米,嘉洲华苑  车公庙,简装,南,91人关注,https://sz.lianjia.com/ershoufang/105102517853.html,3室1厅,VR房源 房本满两年,500,,福田CBD，自住装修，诚心出售，正南向。
141.58平米,单价74164元/平米,圆梦园  福田保税区,精装,南,6人关注,https://sz.lianjia.com/ershoufang/105102111193.html,5室2厅,VR房源 房本满两年,1050,,福田保税区，标准五房，户型方正，安静居家，诚心出售
219.7平米,单价109240元/平米,万科温馨家园  香蜜湖,简装,东 西,11人关注,https://sz.lianjia.com/ershoufang/105101471339.html,5室2厅,近地铁 VR房源 房本满五年,2400,,万科温馨家园 顶楼中空复式 户型好  格局方正 板楼
41.15平米,单价77765元/平米,京基滨河时代  上下沙,精装,东北,13人关注,https://sz.lianjia.com/ershoufang/105101441484.html,1室1厅,近地铁 VR房源 房本满五年,320,,京基滨河时代 安静一房一厅  红本在手 业主诚售
86.84平米,单价71396元/平米,碧华庭居  梅林,精装,北,2人关注,https://sz.lianjia.com/ershoufang/105103560548.html,2室1厅,近地铁 VR房源 房本满两年,620,15天以前发布,18年的精装修，自住，北向安静看塘朗山山景，厅出阳台
155.39平米,单价86106元/平米,翰岭院  梅林,精装,南,16人关注,https://sz.lianjia.com/ershoufang/105102454501.html,5室2厅,近地铁 VR房源 房本满五年,1338,,带23㎡大入户花园，20㎡双阳台朝泳池安静可做独门独户
67.53平米,单价72561元/平米,京基滨河时代  上下沙,精装,南,65人关注,https://sz.lianjia.com/ershoufang/105101823154.html,2室1厅,近地铁 VR房源 房本满五年,490,,满五年，红本在手，优质两房，诚意出售
77.52平米,单价83850元/平米,益田村  石厦,简装,北,4人关注,https://sz.lianjia.com/ershoufang/105103524849.html,3室1厅,近地铁 VR房源 房本满五年,650,21天以前发布,中间楼层，视野采光好，业主诚心出售
86.73平米,单价66875元/平米,皇御苑二期  皇岗,精装,东北,8人关注,https://sz.lianjia.com/ershoufang/105103486712.html,3室1厅,近地铁 VR房源 房本满五年,580,28天以前发布,皇御苑二期 3室1厅 580万
129.11平米,单价89072元/平米,越海家园  竹子林,简装,南 北,17人关注,https://sz.lianjia.com/ershoufang/105102631214.html,4室2厅,近地铁 VR房源 房本满五年,1150,,越海家园 高层海景4房 南北通透 视野开阔 诚心卖
227平米,单价52864元/平米,玉福楼  上步,精装,东南,3人关注,https://sz.lianjia.com/ershoufang/105102658633.html,4室2厅,近地铁 VR房源 房本满两年,1200,,玉福楼 4室2厅 1200万
62.55平米,单价70344元/平米,帝港海湾豪园  福田保税区,精装,西,10人关注,https://sz.lianjia.com/ershoufang/105103516712.html,2室1厅,VR房源 房本满五年 随时看房,440,23天以前发布,帝港海湾豪园精装两房，业主诚心出售
128.58平米,单价68440元/平米,金海湾花园  上下沙,精装,西南,12人关注,https://sz.lianjia.com/ershoufang/105102260079.html,3室2厅,VR房源 房本满两年,880,,金地品牌物业大花园，车位充足；大金沙改造；
114.79平米,单价95828元/平米,城中雅苑  福田中心,精装,南,85人关注,https://sz.lianjia.com/ershoufang/105101822809.html,3室2厅,近地铁 VR房源 房本满五年,1100,,城中雅苑 高层东南向三房 安静住家 五年唯一
94.45平米,单价54844元/平米,皇洲花园  福田中心,简装,东北,124人关注,https://sz.lianjia.com/ershoufang/105101432239.html,3室2厅,近地铁 VR房源 房本满五年,518,,近地铁 方正大三房 视野采光好 安静无遮挡 同户型低价
309.24平米,单价64675元/平米,安栢丽晶  景田,简装,东 南 西,64人关注,https://sz.lianjia.com/ershoufang/105100866629.html,5室3厅,近地铁 VR房源 房本满两年,2000,,高楼层，5房户型，采光好，看高尔夫景观。
39平米,单价66667元/平米,祥云天都世纪大厦  新洲,精装,北,25人关注,https://sz.lianjia.com/ershoufang/105102495892.html,1室0厅,近地铁 VR房源 房本满五年 随时看房,260,,楼下家乐福和沙尾地铁口 单房 诚心卖！
86.87平米,单价103373元/平米,嘉葆润金座  新洲,精装,东,61人关注,https://sz.lianjia.com/ershoufang/105101687155.html,4室2厅,近地铁 VR房源 房本满五年,898,,13年复式大4房，厅出阳台高楼层朝东看福田CBD香港山景
41.28平米,单价75097元/平米,韵动家园  新洲,精装,东,20人关注,https://sz.lianjia.com/ershoufang/105103579399.html,1室1厅,近地铁 VR房源 房本满两年,310,12天以前发布,韵动家园 福田体育公园旁7号线上沙站 精装一房一厅
95.72平米,单价79399元/平米,梅林一村七区  梅林,精装,西南,1人关注,https://sz.lianjia.com/ershoufang/105103545929.html,3室2厅,近地铁 VR房源 房本满五年,760,18天以前发布,多层围合，端头位，视野无遮挡，诚心出售，看房方便。
145.33平米,单价61103元/平米,宝瑞轩  福田保税区,简装,南,5人关注,https://sz.lianjia.com/ershoufang/105103546028.html,5室2厅,VR房源 房本满五年,888,18天以前发布,安静，户型方正，     实用，
46.58平米,单价63332元/平米,越海家园  竹子林,精装,南,39人关注,https://sz.lianjia.com/ershoufang/105101556856.html,1室1厅,近地铁 VR房源 房本满五年,295,,越海家园 正南向 安静舒适1房 70年产权公寓 诚心卖
96.28平米,单价68447元/平米,绿景新洋房  新洲,简装,南,46人关注,https://sz.lianjia.com/ershoufang/105102019659.html,3室2厅,近地铁 VR房源 房本满五年,659,,经典大三居，南北通，你爱吗？？？
73.27平米,单价62100元/平米,锦滨苑  新洲,简装,南,12人关注,https://sz.lianjia.com/ershoufang/105102242840.html,2室2厅,近地铁 VR房源 房本满五年 随时看房,455,,安静社区 满五年  红本大两房
109.06平米,单价64185元/平米,帝港海湾豪园  福田保税区,简装,南,2人关注,https://sz.lianjia.com/ershoufang/105103615475.html,3室2厅,VR房源 房本满两年,700,5天以前发布,帝港海湾豪园 3室2厅 700万
173.08平米,单价92443元/平米,深业花园  莲花,精装,西北,39人关注,https://sz.lianjia.com/ershoufang/105101577488.html,4室2厅,近地铁 VR房源 房本满两年 随时看房,1600,,新装修复式4房，可看泳池景观，俯瞰莲花山
77.6平米,单价114433元/平米,中泰燕南名庭  华强北,简装,东北,3人关注,https://sz.lianjia.com/ershoufang/105103531513.html,2室2厅,近地铁 VR房源 房本满五年,888,20天以前发布,未使用用  产权清晰  诚心出售
245.88平米,单价122011元/平米,东海国际公寓  香蜜湖,精装,西南,30人关注,https://sz.lianjia.com/ershoufang/105101444122.html,2室2厅,近地铁 VR房源 房本满五年,3000,,东海国际公寓，一线海景房，红本在手，诚心出售。
98.2平米,单价61100元/平米,祥云天都世纪大厦  新洲,精装,南,331人关注,https://sz.lianjia.com/ershoufang/105101268773.html,4室2厅,近地铁 VR房源 房本满五年,600,,小区端头位置，三面通风采光，次新装修，实用四房
92.92平米,单价86096元/平米,园岭新村  园岭,精装,南,16人关注,https://sz.lianjia.com/ershoufang/105103396321.html,3室2厅,近地铁 VR房源 房本满五年,800,,园岭新村 楼层好 精装修直接入住 红本在手交易便利
56.39平米,单价79802元/平米,皇庭世纪  石厦,简装,北,121人关注,https://sz.lianjia.com/ershoufang/105103150195.html,2室1厅,近地铁 VR房源 房本满两年,450,,会展旁小两房，大社区，户型方正，诚心出售
91.64平米,单价72676元/平米,长城盛世家园二期  莲花,简装,北,48人关注,https://sz.lianjia.com/ershoufang/105101380486.html,3室1厅,近地铁 VR房源 房本满五年,666,,长城盛世家园二期私密性很好的3房2卫
